datetime,open,high,low,close
2022-09-07 17:55:00,143.859,143.928,143.84,143.913
2022-09-07 18:00:00,143.913,143.994,143.88,143.936
2022-09-07 18:05:00,143.931,144.008,143.9,144.003
2022-09-07 18:10:00,144.004,144.052,143.97,144.02
2022-09-07 18:15:00,144.024,144.064,143.95,143.998
2022-09-07 18:20:00,143.996,144.031,143.97,143.999
2022-09-07 18:25:00,143.994,144.034,143.96,144.02
2022-09-07 18:30:00,144.03,144.036,143.98,144.022
2022-09-07 18:35:00,144.023,144.025,143.95,144.019
2022-09-07 18:40:00,144.021,144.068,143.99,144.039
2022-09-07 18:45:00,144.038,144.096,144.02,144.093
2022-09-07 18:50:00,144.09,144.145,144.06,144.134
2022-09-07 18:55:00,144.134,144.145,144.08,144.13
2022-09-07 19:00:00,144.13,144.149,144.08,144.134
2022-09-07 19:05:00,144.135,144.142,144.05,144.092
2022-09-07 19:10:00,144.09,144.111,144.05,144.108
2022-09-07 19:15:00,144.11,144.118,144.02,144.061
2022-09-07 19:20:00,144.061,144.07,143.99,144.02
2022-09-07 19:25:00,144.02,144.031,143.95,143.984
2022-09-07 19:30:00,143.983,143.998,143.92,143.92
2022-09-07 19:35:00,143.91,143.946,143.78,143.811
2022-09-07 19:40:00,143.808,143.857,143.79,143.846
2022-09-07 19:45:00,143.847,143.862,143.82,143.847
2022-09-07 19:50:00,143.845,143.857,143.77,143.805
2022-09-07 19:55:00,143.805,143.828,143.74,143.769
2022-09-07 20:00:00,143.768,143.779,143.64,143.72
2022-09-07 20:05:00,143.721,143.817,143.69,143.806
2022-09-07 20:10:00,143.809,143.81,143.74,143.775
2022-09-07 20:15:00,143.774,143.813,143.75,143.794
2022-09-07 20:20:00,143.786,143.855,143.77,143.825
2022-09-07 20:25:00,143.825,143.83,143.76,143.805
2022-09-07 20:30:00,143.798,143.834,143.77,143.81
2022-09-07 20:35:00,143.8,143.819,143.75,143.77
2022-09-07 20:40:00,143.774,143.78,143.73,143.76
2022-09-07 20:45:00,143.759,143.774,143.72,143.756
2022-09-07 20:50:00,143.761,143.77,143.72,143.76
2022-09-07 20:55:00,143.76,143.769,143.73,143.76
2022-09-07 21:00:00,143.761,143.771,143.686,143.75
2022-09-07 21:05:00,143.738,143.785,143.71,143.752
2022-09-07 21:10:00,143.729,143.769,143.694,143.737
2022-09-07 21:15:00,143.764,143.784,143.694,143.74
2022-09-07 21:20:00,143.75,143.81,143.725,143.773
2022-09-07 21:25:00,143.785,143.79,143.682,143.737
2022-09-07 21:30:00,143.723,143.745,143.687,143.729
2022-09-07 21:35:00,143.728,143.743,143.704,143.73
2022-09-07 21:40:00,143.73,143.741,143.701,143.72
2022-09-07 21:45:00,143.729,143.743,143.695,143.726
2022-09-07 21:50:00,143.74,143.757,143.705,143.719
2022-09-07 21:55:00,143.746,143.753,143.71,143.75
2022-09-07 22:00:00,143.739,143.754,143.71,143.74
2022-09-07 22:05:00,143.738,143.751,143.698,143.726
2022-09-07 22:10:00,143.725,143.766,143.71,143.754
2022-09-07 22:15:00,143.756,143.806,143.74,143.788
2022-09-07 22:20:00,143.791,143.833,143.77,143.833
2022-09-07 22:25:00,143.833,143.901,143.8,143.889
2022-09-07 22:30:00,143.886,144.008,143.87,144.003
2022-09-07 22:35:00,143.98,144.002,143.95,143.986
2022-09-07 22:40:00,143.986,143.99,143.94,143.983
2022-09-07 22:45:00,143.982,144.078,143.95,144.067
2022-09-07 22:50:00,144.068,144.13,144.03,144.115
2022-09-07 22:55:00,144.122,144.122,144.02,144.04
2022-09-07 23:00:00,144.061,144.079,143.99,144.024
2022-09-07 23:05:00,144.025,144.04,143.98,144.023
2022-09-07 23:10:00,144.02,144.119,144.01,144.107
2022-09-07 23:15:00,144.114,144.2,144.09,144.186
2022-09-07 23:20:00,144.187,144.218,144.1,144.218
2022-09-07 23:25:00,144.21,144.26,144.16,144.24
2022-09-07 23:30:00,144.243,144.312,144.22,144.271
2022-09-07 23:35:00,144.281,144.291,144.21,144.271
2022-09-07 23:40:00,144.272,144.278,144.19,144.208
2022-09-07 23:45:00,144.215,144.218,144.15,144.187
2022-09-07 23:50:00,144.191,144.204,144.14,144.195
2022-09-07 23:55:00,144.194,144.239,144.15,144.201
2022-09-08 00:00:00,144.196,144.204,144.06,144.089
2022-09-08 00:05:00,144.09,144.124,143.96,144.12
2022-09-08 00:10:00,144.122,144.188,144.08,144.136
2022-09-08 00:15:00,144.11,144.253,144.08,144.221
2022-09-08 00:20:00,144.222,144.251,144.17,144.19
2022-09-08 00:25:00,144.195,144.281,144.14,144.23
2022-09-08 00:30:00,144.26,144.329,144.2,144.322
2022-09-08 00:35:00,144.315,144.388,144.26,144.373
2022-09-08 00:40:00,144.372,144.469,144.31,144.44
