datetime,open,high,low,close
2022-08-29 23:45:00,138.697,138.712,138.59,138.65
2022-08-30 00:00:00,138.652,138.672,138.55,138.644
2022-08-30 00:15:00,138.644,138.673,138.46,138.537
2022-08-30 00:30:00,138.53,138.549,138.41,138.48
2022-08-30 00:45:00,138.479,138.587,138.43,138.566
2022-08-30 01:00:00,138.565,138.588,138.41,138.492
2022-08-30 01:15:00,138.493,138.574,138.43,138.477
2022-08-30 01:30:00,138.478,138.553,138.35,138.51
2022-08-30 01:45:00,138.519,138.565,138.41,138.537
2022-08-30 02:00:00,138.537,138.655,138.51,138.602
2022-08-30 02:15:00,138.599,138.677,138.53,138.594
2022-08-30 02:30:00,138.59,138.631,138.53,138.57
2022-08-30 02:45:00,138.575,138.619,138.53,138.612
2022-08-30 03:00:00,138.6,138.627,138.53,138.572
2022-08-30 03:15:00,138.571,138.586,138.52,138.581
2022-08-30 03:30:00,138.578,138.62,138.52,138.564
2022-08-30 03:45:00,138.569,138.615,138.47,138.505
2022-08-30 04:00:00,138.504,138.595,138.47,138.57
2022-08-30 04:15:00,138.574,138.596,138.52,138.568
2022-08-30 04:30:00,138.567,138.567,138.45,138.536
2022-08-30 04:45:00,138.534,138.552,138.32,138.442
2022-08-30 05:00:00,138.442,138.514,138.41,138.485
2022-08-30 05:15:00,138.485,138.495,138.38,138.477
2022-08-30 05:30:00,138.476,138.505,138.39,138.43
2022-08-30 05:45:00,138.43,138.452,138.37,138.401
2022-08-30 06:00:00,138.397,138.499,138.36,138.474
2022-08-30 06:15:00,138.476,138.555,138.41,138.498
2022-08-30 06:30:00,138.498,138.562,138.43,138.51
2022-08-30 06:45:00,138.512,138.661,138.44,138.633
2022-08-30 07:00:00,138.634,138.646,138.42,138.477
2022-08-30 07:15:00,138.479,138.548,138.4,138.476
2022-08-30 07:30:00,138.472,138.595,138.44,138.586
2022-08-30 07:45:00,138.588,138.639,138.4,138.454
2022-08-30 08:00:00,138.45,138.5,138.39,138.455
2022-08-30 08:15:00,138.453,138.46,138.26,138.299
2022-08-30 08:30:00,138.297,138.309,138.11,138.17
2022-08-30 08:45:00,138.179,138.321,138.15,138.302
2022-08-30 09:00:00,138.301,138.318,138.22,138.279
2022-08-30 09:15:00,138.279,138.35,138.25,138.31
2022-08-30 09:30:00,138.31,138.335,138.2,138.32
2022-08-30 09:45:00,138.32,138.342,138.23,138.329
2022-08-30 10:00:00,138.333,138.387,138.29,138.342
2022-08-30 10:15:00,138.34,138.379,138.27,138.304
