datetime,open,high,low,close
2022-08-15 21:00:00,133.312,133.324,133.26,133.309
2022-08-15 21:30:00,133.306,133.355,133.277,133.303
2022-08-15 22:00:00,133.31,133.32,133.184,133.269
2022-08-15 22:30:00,133.263,133.273,133.07,133.104
2022-08-15 23:00:00,133.106,133.156,133.07,133.155
2022-08-15 23:30:00,133.154,133.159,133.02,133.086
2022-08-16 00:00:00,133.06,133.174,133.04,133.131
2022-08-16 00:30:00,133.131,133.243,132.92,133.051
2022-08-16 01:00:00,133.051,133.25,132.92,133.191
2022-08-16 01:30:00,133.192,133.382,133.14,133.31
2022-08-16 02:00:00,133.317,133.486,133.3,133.37
2022-08-16 02:30:00,133.376,133.437,133.26,133.365
2022-08-16 03:00:00,133.365,133.39,133.28,133.365
2022-08-16 03:30:00,133.363,133.402,133.28,133.343
2022-08-16 04:00:00,133.343,133.362,133.26,133.349
2022-08-16 04:30:00,133.349,133.426,133.32,133.37
2022-08-16 05:00:00,133.37,133.495,133.35,133.446
2022-08-16 05:30:00,133.448,133.486,133.33,133.365
2022-08-16 06:00:00,133.36,133.393,133.26,133.297
2022-08-16 06:30:00,133.298,133.446,133.23,133.326
2022-08-16 07:00:00,133.33,133.454,133.3,133.419
2022-08-16 07:30:00,133.419,133.8,133.36,133.723
2022-08-16 08:00:00,133.72,133.778,133.58,133.656
2022-08-16 08:30:00,133.669,133.921,133.61,133.846
2022-08-16 09:00:00,133.844,133.954,133.7,133.939
2022-08-16 09:30:00,133.936,134.11,133.84,134.109
2022-08-16 10:00:00,134.106,134.2,134.04,134.144
2022-08-16 10:30:00,134.147,134.186,134.03,134.176
2022-08-16 11:00:00,134.173,134.243,134.05,134.205
2022-08-16 11:30:00,134.204,134.442,134.17,134.372
2022-08-16 12:00:00,134.369,134.487,134.33,134.389
2022-08-16 12:30:00,134.388,134.462,134.26,134.349
2022-08-16 13:00:00,134.316,134.685,134.24,134.595
2022-08-16 13:30:00,134.597,134.616,134.4,134.525
2022-08-16 14:00:00,134.524,134.672,134.46,134.508
2022-08-16 14:30:00,134.508,134.548,134.24,134.264
2022-08-16 15:00:00,134.27,134.42,134.18,134.378
2022-08-16 15:30:00,134.378,134.441,134.22,134.275
2022-08-16 16:00:00,134.273,134.42,134.22,134.383
2022-08-16 16:30:00,134.386,134.459,134.34,134.393
2022-08-16 17:00:00,134.391,134.44,134.32,134.397
2022-08-16 17:30:00,134.401,134.405,134.32,134.38
2022-08-16 18:00:00,134.382,134.386,134.28,134.337
2022-08-16 18:30:00,134.337,134.337,134.23,134.299
2022-08-16 19:00:00,134.301,134.33,134.21,134.233
